Company,Email,Website,Batch,Vertical,Notes
Adam,founders@adam.new,https://adam.new/,Winter 2025,AI,YC Winter 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Adentris,sales@adentris.com,https://www.adentris.com,Spring 2025,AI,YC Spring 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
AfterQuery,sales@afterquery.com,https://afterquery.com,Winter 2025,AI,YC Winter 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Bloomy,hello@bloomylearning.com,https://bloomylearning.com/,Summer 2026,AI,YC Summer 2026 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Channel3,support@trychannel3.com,https://trychannel3.com,Summer 2025,AI,YC Summer 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Clicks Health,contact@goclicks.ai,https://www.goclicks.ai/,Fall 2025,AI,YC Fall 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Code Four,support@codefour.us,https://codefour.us/,Spring 2025,AI,YC Spring 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Dedalus Labs,support@dedaluslabs.ai,https://www.dedaluslabs.ai/,Summer 2025,AI/DevTools,YC Summer 2025 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
DeepAware AI (Robotics Center of Silicon Valley),contact@roboticscenter.ai,https://roboticscenter.ai/,Summer 2025,AI/ML,YC Summer 2025 · AI/ML · hiring · cold email for opportunity; ask to forward to hiring manager
EffiGov,info@effigov.com,https://effigov.com,Summer 2025,AI,YC Summer 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Floot,hello@floot.com,https://floot.com,Summer 2025,AI,YC Summer 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Godela,founders@godela.ai,http://godela.ai,Spring 2025,AI,YC Spring 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Haladir,founders@haladir.com,https://www.haladir.com/,Winter 2026,AI,YC Winter 2026 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Hyperspell,hello@hyperspell.com,https://hyperspell.com,Fall 2025,ML,YC Fall 2025 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
Layers,hiring@layers.bio,https://www.layers.bio/,Fall 2025,AI,YC Fall 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Lemma,jerry@uselemma.ai,https://www.uselemma.ai/,Fall 2025,AI/DevTools,YC Fall 2025 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
MadeThis,support@madethis.com,https://madethis.com,Fall 2025,AI,YC Fall 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Nozomio,arlan@nozomio.com,https://www.nozomio.com/,Summer 2025,AI/DevTools,YC Summer 2025 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
