Company,Email,Person,Title,City,State,Category,Notes
eInfochips,hiring.ia@einfochips.com,Team,Contact,Ahmedabad,Gujarat,Engineering/IT,email hiring.ia@einfochips.com from existing repo list (domain match); Engineering/IT; applies via careers portal (no public email) - https://www.einfochips.com/careers/; offices: Ahmedabad/Bengaluru/Pune
Kraft Heinz,,,,Ahmedabad,Gujarat,Consumer GCC,Consumer GCC; applies via careers portal (no public email) - https://www.gameskraft.com/careers/; offices: Ahmedabad
L&T Technology Services,,,,Vadodara,Gujarat,Engineering/IT,Engineering/IT; applies via careers portal (no public email) - https://www.ltts.com/careers; offices: Vadodara/Bengaluru/Mysuru
American Express,sanskrita.verma@aexp.com,Sanskrita Verma,Human resources recruitment coordinator,Gurugram,Haryana,BFSI tech,Vibe Prospecting HR contact (valid); BFSI tech; applies via careers portal (no public email) - https://www.americanexpress.com/en-us/careers/; offices: Gurugram/Bengaluru
Aon,pallavi.yadav@aon.com,Team,Contact,Gurugram,Haryana,Insurance GCC,email pallavi.yadav@aon.com from existing repo list (domain match); Insurance GCC; applies via careers portal (no public email) - https://aon.com/careers; offices: Gurugram/Bengaluru
Blackstone,,,,Gurugram,Haryana,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://blackstone.com/careers; offices: Gurugram/Mumbai
Boston Scientific,,,,Gurugram,Haryana,Medtech GCC,Medtech GCC; applies via careers portal (no public email) - https://bostonscientific.com/careers; offices: Gurugram/Pune
BT Group,,,,Gurugram,Haryana,Telecom GCC,Telecom GCC; applies via careers portal (no public email) - https://hbtu.ac.in/recruitment/; offices: Gurugram/Bengaluru
Coca-Cola,,,,Gurugram,Haryana,Consumer GCC,Consumer GCC; applies via careers portal (no public email) - https://coca-colacompany.com/careers; offices: Gurugram
Expedia Group,ajain2@expediagroup.com,Team,Contact,Gurugram,Haryana,Travel-tech,email ajain2@expediagroup.com from existing repo list (domain match); Travel-tech; applies via careers portal (no public email) - https://careers.expediagroup.com/jobs/; offices: Gurugram/Bengaluru
Incedo,careers@incedoinc.com,Talent Acquisition,Careers,Gurugram,Haryana,IT services,VERIFIED careers inbox on incedoinc.com; MX OK; offices: Gurugram/Pune
Keysight,,,,Gurugram,Haryana,Test/measurement GCC,Test/measurement GCC; applies via careers portal (no public email) - https://keysight.com/careers; offices: Gurugram/Bengaluru
Macquarie,,,,Gurugram,Haryana,BFSI tech,BFSI tech; applies via careers portal (no public email) - https://macquarie.com/careers; offices: Gurugram/Hyderabad
MongoDB,gurvinder.madan@mongodb.com,Gurvinder Madan,Senior manager - human resources shared services,Gurugram,Haryana,Product/tech,Vibe Prospecting HR contact (valid); Product/tech; applies via careers portal (no public email) - https://www.mongodb.com/careers; offices: Gurugram/Bengaluru
Nagarro,manas@nagarro.com,Team,Contact,Gurugram,Haryana,Digital engineering,email manas@nagarro.com from existing repo list (domain match); Digital engineering; applies via careers portal (no public email) - https://www.nagarro.com/en/careers; offices: Gurugram/Bengaluru/Pune
NatWest,,,,Gurugram,Haryana,BFSI tech,BFSI tech; applies via careers portal (no public email) - https://natwest.com/careers; offices: Gurugram/Chennai/Bengaluru
Nestle,,,,Gurugram,Haryana,Consumer GCC,Consumer GCC; applies via careers portal (no public email) - https://nestle.com/careers; offices: Gurugram
Reckitt,,,,Gurugram,Haryana,Consumer GCC,Consumer GCC; applies via careers portal (no public email) - https://reckitt.com/careers; offices: Gurugram/Hyderabad
Stryker,nishant.ranjan@stryker.com,Team,Contact,Gurugram,Haryana,Medtech GCC,email nishant.ranjan@stryker.com from existing repo list (domain match); Medtech GCC; applies via careers portal (no public email) - https://stryker.com/careers; offices: Gurugram
Sun Life,arjun.chatterjee@sunlife.com,Team,Contact,Gurugram,Haryana,Insurance GCC,email arjun.chatterjee@sunlife.com from existing repo list (domain match); Insurance GCC; applies via careers portal (no public email) - https://research.samsung.com/careers; offices: Gurugram
Xebia,,,,Gurugram,Haryana,Software consultancy,Software consultancy; applies via careers portal (no public email) - https://xebia.com/careers/; offices: Gurugram/Bengaluru/Hyderabad
Agilent,,,,Manesar,Haryana,Life-sciences GCC,Life-sciences GCC; applies via careers portal (no public email) - https://agilent.com/careers; offices: Manesar/Bengaluru
3M,,,,Bengaluru,Karnataka,Industrial GCC,Industrial GCC; applies via careers portal (no public email) - https://3m.com/careers; offices: Bengaluru
AB InBev,pranav.suresh@ab-inbev.com,Team,Contact,Bengaluru,Karnataka,Consumer GCC,email pranav.suresh@ab-inbev.com from existing repo list (domain match); Consumer GCC; applies via careers portal (no public email) - https://careers.talabat.com/; offices: Bengaluru
ABB,sathish.v@in.abb.com,Team,Contact,Bengaluru,Karnataka,Industrial GCC,email sathish.v@in.abb.com from existing repo list (domain match); Industrial GCC; applies via careers portal (no public email) - https://tabby.ai/careers; offices: Bengaluru/Chennai
Abbott,vikas.shukla@abbott.com,Team,Contact,Bengaluru,Karnataka,Healthcare GCC,email vikas.shukla@abbott.com from existing repo list (domain match); Healthcare GCC; applies via careers portal (no public email) - https://abbott.com/careers; offices: Bengaluru/Mumbai
Accenture,campus.recruitment@accenture.com,Team,Contact,Bengaluru,Karnataka,IT services,email campus.recruitment@accenture.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://www.accenture.com/in-en/careers/life-at-accenture/entry-level; offices: Bengaluru/Hyderabad/Pune/Chennai
AIG,,,,Bengaluru,Karnataka,Insurance GCC,Insurance GCC; applies via careers portal (no public email) - https://aig.com/careers; offices: Bengaluru
