Company,Email,Person,Title,Notes
Adam,founders@adam.new,Founders,—,YC Winter 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Adentris,sales@adentris.com,General inbox,—,YC Spring 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
AfterQuery,sales@afterquery.com,General inbox,—,YC Winter 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Bloomy,hello@bloomylearning.com,Team,—,YC Summer 2026 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Channel3,support@trychannel3.com,General inbox,—,YC Summer 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Clicks Health,contact@goclicks.ai,Team,—,YC Fall 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Code Four,support@codefour.us,General inbox,—,YC Spring 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Dedalus Labs,support@dedaluslabs.ai,General inbox,—,YC Summer 2025 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
DeepAware AI (Robotics Center of Silicon Valley),contact@roboticscenter.ai,Team,—,YC Summer 2025 · AI/ML · hiring · cold email for opportunity; ask to forward to hiring manager
EffiGov,info@effigov.com,Team,—,YC Summer 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Floot,hello@floot.com,Team,—,YC Summer 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Godela,founders@godela.ai,Founders,—,YC Spring 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Haladir,founders@haladir.com,Founders,—,YC Winter 2026 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Hyperspell,hello@hyperspell.com,Team,—,YC Fall 2025 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
Layers,hiring@layers.bio,Hiring Team,—,YC Fall 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Lemma,jerry@uselemma.ai,Team,—,YC Fall 2025 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
MadeThis,support@madethis.com,General inbox,—,YC Fall 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Nozomio,arlan@nozomio.com,Team,—,YC Summer 2025 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
OneStop,support@askonestop.com,General inbox,—,YC Summer 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Onlook,contact@onlook.com,Team,—,YC Winter 2025 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Ooak Data,contact@ooakdata.com,Team,—,YC Summer 2026 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Parasma,careers@parasma.com,Hiring Team,—,YC Summer 2026 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
Parsewise,sales@parsewise.ai,General inbox,—,YC Spring 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Pelica,founders@pelica.com,Founders,—,YC Spring 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Plexe,hello@plexe.ai,Team,—,YC Spring 2025 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
Proliferate,support@proliferate.com,General inbox,—,YC Summer 2025 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
QualGent,sales@qualgent.ai,General inbox,—,YC Spring 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
RamAIn,founders@ramain.ai,Founders,—,YC Winter 2026 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Rational,founders@rational.to,Founders,—,YC Summer 2026 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Salus,founders@usesalus.ai,Founders,—,YC Winter 2026 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Scout,hey@scoutforschools.com,Team,—,YC Winter 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Sitefire,info@sitefire.ai,Team,—,YC Winter 2026 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Spott,manu@spott.io,Team,—,YC Winter 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Structured AI,info@getstructured.ai,Team,—,YC Fall 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Superset,founders@superset.sh,Founders,—,YC Spring 2026 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Trata,hello@trytrata.com,Team,—,YC Winter 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
a0.dev,founders@a0.dev,Founders,—,YC Winter 2025 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
throxy,pablo@throxy.com,Team,—,YC Spring 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
truthsystems,info@truthsystems.ai,Team,—,YC Summer 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Fenrock AI,contact@fenrock.ai,Team,—,YC Winter 2026 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Piris Labs,contact@pirislabs.io,Team,—,YC Winter 2026 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
"PerfectBit, Inc.",research@perfectbit.ai,Team,—,YC Spring 2026 · AI/ML · hiring · cold email for opportunity; ask to forward to hiring manager
Servo7,pieter@servo7.com,Team,—,YC Winter 2026 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Simantic,founders@simantic.dev,Founders,—,YC Fall 2026 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Leaping AI,jane@leapingai.com,Team,—,YC Winter 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
HUD,founders@hud.ai,Founders,—,YC Winter 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
DiligenceSquared,founders@diligencesquared.com,Founders,—,YC Fall 2025 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Theorem,founders@theorem.dev,Founders,—,YC Spring 2025 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
Allus AI,contact@allus.ai,Team,—,YC Fall 2025 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
cubic,contact@cubic.dev,Team,—,YC Spring 2025 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Confident AI,hiring@confident-ai.com,Hiring Team,—,YC Winter 2025 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
